date,open,high,low,close,asset
2025-04-14,2.607e-05,2.616e-05,1.574e-05,1.59e-05,kori/usd/ohlcv
2025-04-18,1.589e-05,1.638e-05,1.182e-05,1.38e-05,kori/usd/ohlcv
2025-04-22,1.38e-05,3.753e-05,1.368e-05,3.456e-05,kori/usd/ohlcv
2025-04-26,3.432e-05,0.00011337,3.392e-05,6.027e-05,kori/usd/ohlcv
2025-04-30,6.033e-05,7.113e-05,4.197e-05,4.333e-05,kori/usd/ohlcv
2025-05-04,4.311e-05,4.341e-05,1.896e-05,1.92e-05,kori/usd/ohlcv
2025-05-08,1.918e-05,2.029e-05,1.528e-05,1.551e-05,kori/usd/ohlcv
2025-05-12,1.551e-05,2.147e-05,1.524e-05,2.002e-05,kori/usd/ohlcv
2025-05-16,2.011e-05,0.00026337,2.002e-05,0.00022255,kori/usd/ohlcv
2024-05-17,0.01149329,0.0130776,0.01104374,0.01127108,bome/usd/ohlcv
2024-05-21,0.01125854,0.01249705,0.01091226,0.01246831,bome/usd/ohlcv
2024-05-25,0.01248442,0.01410041,0.01189795,0.01288184,bome/usd/ohlcv
2024-05-29,0.0128663,0.0151912,0.01263141,0.01491997,bome/usd/ohlcv
2024-06-02,0.01488208,0.01582005,0.0128531,0.01341015,bome/usd/ohlcv
2024-06-06,0.01340649,0.01377175,0.01277647,0.01336284,bome/usd/ohlcv
2024-06-10,0.01332636,0.01403919,0.01048869,0.01111669,bome/usd/ohlcv
2024-06-14,0.01112769,0.01120221,0.00929371,0.01029437,bome/usd/ohlcv
2024-06-18,0.01030002,0.01126689,0.00915474,0.00917193,bome/usd/ohlcv
2024-06-22,0.00914682,0.0092044,0.00801354,0.00887039,bome/usd/ohlcv
2024-06-26,0.00888448,0.00954533,0.00800027,0.00950956,bome/usd/ohlcv
2024-06-30,0.00953366,0.01086393,0.00897194,0.00943811,bome/usd/ohlcv
2024-07-04,0.00943701,0.01021989,0.00863799,0.00866612,bome/usd/ohlcv
2024-07-08,0.00866377,0.00882348,0.00655711,0.00720911,bome/usd/ohlcv
2024-07-12,0.00721324,0.00811305,0.0068886,0.00729915,bome/usd/ohlcv
2024-07-16,0.00729846,0.00903963,0.00724259,0.00903963,bome/usd/ohlcv
2024-07-20,0.00903516,0.00960687,0.00837885,0.00939616,bome/usd/ohlcv
2024-07-24,0.00940029,0.00967355,0.00830711,0.00849202,bome/usd/ohlcv
2024-07-28,0.00847994,0.00896513,0.0076287,0.00858194,bome/usd/ohlcv
2024-08-01,0.00855141,0.01138461,0.0083522,0.01001897,bome/usd/ohlcv
2024-08-05,0.01001817,0.01016318,0.00675565,0.00697966,bome/usd/ohlcv
2024-08-09,0.00697965,0.0078656,0.00522548,0.007791,bome/usd/ohlcv
2024-08-13,0.00773499,0.00788057,0.00666466,0.00721488,bome/usd/ohlcv
2024-08-17,0.00720477,0.00750864,0.0062421,0.00646056,bome/usd/ohlcv
2024-08-21,0.00645869,0.00726281,0.00641696,0.00709107,bome/usd/ohlcv
2024-08-25,0.00707657,0.00845123,0.00688569,0.00804685,bome/usd/ohlcv
2024-08-29,0.00804813,0.00804813,0.00588535,0.00609121,bome/usd/ohlcv
2024-09-02,0.00611735,0.00643636,0.00568583,0.00572135,bome/usd/ohlcv
2024-09-06,0.00570643,0.00624698,0.00554342,0.00581229,bome/usd/ohlcv
2024-09-10,0.00581208,0.00650374,0.00538719,0.00636915,bome/usd/ohlcv
2024-09-14,0.00636652,0.00666669,0.0060624,0.00649276,bome/usd/ohlcv
2024-09-18,0.00648604,0.00661804,0.00580914,0.00605216,bome/usd/ohlcv
2024-09-22,0.00605335,0.00736563,0.00582556,0.00690485,bome/usd/ohlcv
2024-09-26,0.00689022,0.00731483,0.00626751,0.0068022,bome/usd/ohlcv
2024-09-30,0.00683158,0.00834044,0.00672315,0.00776382,bome/usd/ohlcv
2024-10-04,0.0077764,0.00791467,0.00569477,0.00590605,bome/usd/ohlcv
2024-10-08,0.00590846,0.00693158,0.00588531,0.00654868,bome/usd/ohlcv
2024-10-12,0.00658081,0.00675238,0.00595509,0.00667014,bome/usd/ohlcv
2024-10-16,0.00666788,0.01129143,0.00666788,0.00931545,bome/usd/ohlcv
2024-10-20,0.00935894,0.0101041,0.00837727,0.00958289,bome/usd/ohlcv
2024-10-24,0.00957777,0.00962944,0.00851685,0.00950525,bome/usd/ohlcv
2024-10-28,0.00951072,0.0103248,0.00812095,0.00855431,bome/usd/ohlcv
2024-11-01,0.00857449,0.00938218,0.00805274,0.0081791,bome/usd/ohlcv
2024-11-05,0.00816806,0.00832088,0.00681178,0.00697482,bome/usd/ohlcv
2024-11-09,0.00698201,0.00925853,0.00698201,0.00826392,bome/usd/ohlcv
2024-11-13,0.00825923,0.0105176,0.00806189,0.00988815,bome/usd/ohlcv
2024-11-17,0.00988318,0.01224769,0.00869103,0.01011183,bome/usd/ohlcv
2024-11-21,0.01011662,0.01105661,0.00923447,0.00935373,bome/usd/ohlcv
2024-11-25,0.00933844,0.01010142,0.00883001,0.00939632,bome/usd/ohlcv
2024-11-29,0.00938131,0.00957251,0.00822421,0.00906421,bome/usd/ohlcv
2024-12-03,0.00905496,0.00994924,0.00863481,0.00920962,bome/usd/ohlcv
2024-12-07,0.00924834,0.01038192,0.00880895,0.00982292,bome/usd/ohlcv
2024-12-11,0.00981663,0.01121448,0.00733662,0.00793183,bome/usd/ohlcv
2024-12-15,0.00793646,0.00896296,0.00768724,0.00806838,bome/usd/ohlcv
2024-12-19,0.00806907,0.00842986,0.00676168,0.00678981,bome/usd/ohlcv
2024-12-23,0.00679095,0.00698362,0.00550115,0.00618222,bome/usd/ohlcv
2024-12-27,0.00618176,0.00682801,0.00602622,0.00612018,bome/usd/ohlcv
2024-12-31,0.00612881,0.00669351,0.00610143,0.00627843,bome/usd/ohlcv
2025-01-04,0.00628209,0.00707776,0.00602433,0.00700807,bome/usd/ohlcv
2025-01-08,0.00702039,0.00716869,0.00606051,0.0060733,bome/usd/ohlcv
2025-01-12,0.00605469,0.00612371,0.00539382,0.0057506,bome/usd/ohlcv
2025-01-16,0.00574693,0.00588068,0.00486436,0.00587153,bome/usd/ohlcv
2025-01-20,0.00587919,0.0062252,0.0045729,0.00463758,bome/usd/ohlcv
2025-01-24,0.00464803,0.00464803,0.00379407,0.00403608,bome/usd/ohlcv
2025-01-28,0.00404099,0.00412007,0.00319567,0.00344694,bome/usd/ohlcv
2025-02-01,0.00345563,0.00365053,0.0029704,0.00329975,bome/usd/ohlcv
2025-02-05,0.00329911,0.00339992,0.00182576,0.00225337,bome/usd/ohlcv
2025-02-09,0.00224481,0.00233225,0.00186163,0.00209753,bome/usd/ohlcv
2025-02-13,0.00209358,0.00225082,0.00192622,0.00223982,bome/usd/ohlcv
2025-02-17,0.00224212,0.002558,0.0020486,0.0020929,bome/usd/ohlcv
2025-02-21,0.00209949,0.00213113,0.00178919,0.00200812,bome/usd/ohlcv
2025-02-25,0.00200538,0.00225031,0.00167684,0.00167684,bome/usd/ohlcv
2025-03-01,0.00168996,0.00196222,0.00160629,0.00191649,bome/usd/ohlcv
2025-03-05,0.00191888,0.00213244,0.00155042,0.00166354,bome/usd/ohlcv
2025-03-09,0.00166465,0.00172868,0.00138819,0.00143634,bome/usd/ohlcv
2025-03-13,0.00143475,0.00144441,0.00117007,0.00137697,bome/usd/ohlcv
2025-03-17,0.00137334,0.00147699,0.00131023,0.00136498,bome/usd/ohlcv
2025-03-21,0.00136504,0.00146519,0.00133195,0.00140363,bome/usd/ohlcv
2025-03-25,0.00140457,0.00179609,0.00132122,0.00156514,bome/usd/ohlcv
2025-03-29,0.00156462,0.0017114,0.00138999,0.00141126,bome/usd/ohlcv
2025-04-02,0.00141232,0.00142541,0.00127195,0.00127666,bome/usd/ohlcv
2025-04-06,0.00127531,0.00128054,0.00108619,0.00112991,bome/usd/ohlcv
2025-04-10,0.0011299,0.0011299,0.0009026,0.00110694,bome/usd/ohlcv
2025-04-14,0.0011076,0.00120348,0.00103061,0.00111522,bome/usd/ohlcv
2025-04-18,0.00111527,0.00116154,0.00104963,0.00111828,bome/usd/ohlcv
2025-04-22,0.00111857,0.00132523,0.00111218,0.00126401,bome/usd/ohlcv
2025-04-26,0.00126561,0.0016116,0.00125138,0.00160907,bome/usd/ohlcv
2025-04-30,0.00160866,0.00171736,0.00147129,0.00150571,bome/usd/ohlcv
2025-05-04,0.00150419,0.00162533,0.00142921,0.00143387,bome/usd/ohlcv
2025-05-08,0.00143149,0.00143916,0.00131504,0.00139076,bome/usd/ohlcv
2025-05-12,0.00139131,0.0022679,0.00139131,0.0021763,bome/usd/ohlcv
2025-05-16,0.00217636,0.00319233,0.00212913,0.00237505,bome/usd/ohlcv
2024-12-19,0.00014046,0.00024452,4.165e-05,9.277e-05,chad/usd/ohlcv
2024-12-23,9.421e-05,0.00011006,5.845e-05,5.981e-05,chad/usd/ohlcv
