date,open,high,low,price,token_address,returns,log_returns,sma_10,sma_50,ema_10,ema_50,volatility_10,volatility_50,rsi_14,macd,macd_signal,macd_histogram,momentum_1,momentum_5,momentum_10,return,log_return,macd_diff,bb_high,bb_low,bb_width,price_lag_1,price_lag_2,price_lag_3,volume_sma_10,volume_sma_50,action_label
2025-02-01,235.14,243.9,223.67,231.35,sol,-0.0152804971482081,-0.0153984470427313,214.933,214.468125,222.8041694053063,220.92791624007617,1.3144759730549578,,54.294785252890186,1.8813934411107596,-2.3335158294349725,9.489657064283424e-07,-3.5900000000000034,43.400000000000006,50.91999999999999,-0.015280497148208116,-0.015398447042731385,4.214909270545732,255.78891590406545,173.14733409593453,38.53327006431885,234.94,253.87,236.67,,,1
2025-02-05,231.63,233.96,180.29,207.19,sol,-0.1044305165333909,-0.1102954686806174,216.82199999999997,214.04,219.9652295134324,220.38917442673986,1.471350656116408,,46.153110816308704,0.6060564911927315,-1.7456013653094318,1.3055265386618622e-08,-24.159999999999997,1.3499999999999943,18.889999999999986,-0.10443051653339097,-0.11029546868061742,2.3516578565021633,254.27310372434766,173.80689627565232,37.59400460133403,231.35,234.94,253.87,,,1
2025-02-09,207.15,208.44,188.48,199.81,sol,-0.0356194797046188,-0.0362693316603498,217.733,213.24944444444444,216.30064232917198,219.58214797863243,1.4888610074652946,,43.98346345603337,-0.9887637002380529,-1.5942338322951561,-1.175676475464883e-06,-7.3799999999999955,-36.859999999999985,9.110000000000014,-0.03561947970461887,-0.03626933166034988,0.6054701320571032,252.88873330017006,173.6101555887188,37.17645216754824,207.19,231.35,234.94,,,1
2025-02-13,199.54,208.26,190.17,196.48,sol,-0.0166658325409139,-0.0168062700532636,215.68400000000003,212.36684210526315,212.69688917841341,218.6761813912351,1.3178756264639082,,43.001170552577314,-2.492639762467462,-1.7739150183296175,-2.032213004766813e-06,-3.3300000000000125,-57.390000000000015,-20.49000000000001,-0.016665832540913916,-0.016806270053263635,-0.7187247441378446,251.66902635024618,173.0646578602801,37.01348464324036,199.81,207.19,231.35,,,1
2025-02-17,196.73,205.02,187.22,188.3,sol,-0.0416327361563516,-0.0425242092956707,214.23999999999995,211.16350000000003,208.2610911459746,217.48495859157882,1.2926143813779742,,40.60235654613463,-4.295019699969487,-2.2781359546575914,-2.629726773146047e-06,-8.179999999999978,-46.639999999999986,-14.439999999999998,-0.04163273615635166,-0.04252420929567077,-2.0168837453118953,250.88099049222524,171.44600950777482,37.61776111139019,196.48,199.81,207.19,,,1
2025-02-21,188.22,189.79,161.58,176.04,sol,-0.065108868826341,-0.0673251937202161,213.04900000000004,209.4909523809524,202.40271093761555,215.85966609779143,1.2807789401656489,,37.248482616373984,-6.63620033818367,-3.1497488313628077,-3.693191988363782e-06,-12.26000000000002,-55.31,-11.909999999999997,-0.06510886882634104,-0.06732519372021617,-3.4864515068208624,250.60314179752507,166.75985820247493,40.17763126824857,188.3,196.48,199.81,,,1
2025-02-25,176.38,180.17,140.58,140.77,sol,-0.2003521926834809,-0.2235838891030165,206.542,206.36727272727273,191.19676349441272,212.91497330964276,1.5544680136822995,,29.658450360433108,-11.208393711847975,-4.761477807459841,-1.1699434994902789e-05,-35.26999999999998,-66.41999999999999,-65.07,-0.20035219268348092,-0.22358388910301655,-6.446915904388134,253.10142172008403,154.62157827991598,48.30722987919153,176.04,188.3,196.48,,,1
2025-03-01,141.77,148.15,126.03,148.12,sol,0.0522128294380903,0.0508954032055378,197.687,203.83478260869563,183.36462467724678,210.37399396416657,1.3163544447875901,,32.73450429299737,-14.076540728686439,-6.624490391705161,-1.6207423570599743e-05,7.349999999999994,-51.69,-88.54999999999998,0.05221282943809036,0.050895403205537815,-7.452050336981277,255.16256807272114,145.9594319272788,54.44883907910428,140.77,176.04,188.3,,,1
2025-03-05,148.22,178.38,132.02,145.08,sol,-0.0205238995409127,-0.0207374416307102,186.808,201.38666666666666,176.40378382683826,207.8134451812581,1.1598910435681624,,32.10907144280564,-16.405755163774273,-8.580743346118984,-1.8260366837366346e-05,-3.039999999999992,-51.39999999999998,-108.78999999999999,-0.020523899540912716,-0.020737441630710264,-7.825011817655289,255.7504138642351,137.93358613576493,59.85350063933011,148.12,140.77,176.04,,,1
2025-03-09,144.45,152.65,135.01,137.02,sol,-0.0555555555555555,-0.0571584138399486,177.016,198.812,169.2430958583222,205.03723164473817,1.1537941018356777,,30.448030754700454,-18.686641058344236,-10.601922888564035,-1.862210663534927e-05,-8.060000000000002,-51.28,-97.91999999999999,-0.05555555555555558,-0.05715841383994864,-8.084718169780201,257.6550824328214,129.2019175671786,66.40860310949151,145.08,148.12,140.77,,,1
